,SHOT_DIST,SHOT_RESULT
14804,0.7917830360619798,1
14448,0.759375172260373,0
14473,0.07881003242663398,1
14363,-1.1094783069656087,0
14762,0.9538223550700128,0
14966,0.7701777935275754,1
14206,-1.3579385961112593,0
14941,0.8133882785963841,0
14377,1.0402433252076306,0
14646,0.2300467301674651,0
14155,-0.8934258816215646,1
14353,-1.5091752938520901,1
14792,0.9754275976044171,1
14072,0.6081384745195423,1
14218,0.46770439804591357,0
14739,-1.5199779151192925,0
14175,0.16523100256425172,1
14249,1.1050590528108435,1
14270,0.867401384932395,0
14076,0.7485725509931707,1
14279,0.9646249763372148,0
14896,-1.6712146128601233,1
14949,0.8565987636651927,1
14866,0.8133882785963841,0
14056,0.6837568233899577,1
14918,0.5325201256491265,1
14440,0.5325201256491265,1
14921,-1.822451310600954,1
14623,-1.7792408255321455,0
15015,-1.5739910214553035,0
14465,0.8025856573291817,0
14972,1.0834538102764393,0
14210,0.5325201256491265,0
14406,-0.6881760775447227,1
14936,-1.7252277191961343,1
14973,0.2948624577706781,0
14134,0.14362576002984737,0
14864,0.8349935211307884,0
14449,-1.6496093703257189,1
14891,0.9322171125356085,0
14985,0.37048080664109345,0
14649,-1.4551621875160792,1
14500,-1.4119517024472703,0
14799,0.2300467301674651,1
14383,1.0942564315436416,1
14409,0.9322171125356085,1
14065,1.1050590528108435,1
14821,-1.293122868508046,0
14928,-1.5307805363864946,1
14186,1.2562957505516748,0
14996,-0.38570268206306074,0
14156,0.6837568233899577,0
14342,-1.7468329617305387,1
14577,-1.228307140904833,0
14590,-0.06162404404699477,0
15003,0.7701777935275754,0
14569,-0.5369393798038917,1
14622,-0.3316895757270497,1
14403,-1.541583157653697,1
14517,0.8565987636651927,0
14530,1.1050590528108435,0
14942,0.5325201256491265,1
14729,-0.6881760775447227,0
14522,-1.4335569449816747,1
14236,0.8025856573291817,0
14397,0.9106118700012038,0
14777,0.8133882785963841,0
14513,0.7377699297259687,1
14692,1.126664295345248,1
14108,-1.3579385961112593,1
14836,0.7377699297259687,0
